,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
108,-3.9796996,-4.4340186,-4.382413,-3.7567987,-3.960846,-4.378037,-5.4062886,-4.235862
109,-3.8652036,-4.3527517,-4.743483,-4.371898,-5.1908717,-4.217162,-4.332385,-3.9841523
110,-3.9101164,-4.4663253,-4.8025203,-4.1551967,-4.8870993,-4.112293,-4.2616963,-3.8942404
111,-3.8290637,-4.2592278,-4.419734,-3.9544592,-3.830089,-4.0069747,-4.60583,-3.8612037
112,-4.476242,-4.4643097,-4.7668447,-4.301639,-4.184233,-4.3265476,-5.450465,-4.5296817
113,-4.3425508,-3.7004714,-4.3810906,-4.2222776,-3.8363159,-4.3691072,-5.471553,-3.9395065
114,-3.850435,-2.4174566,-3.962282,-3.0895827,-3.815779,-4.0500402,-4.6267576,-3.9229336
115,-4.562994,-4.434435,-4.6556354,-4.7969537,-3.8389304,-4.3726063,-4.198501,-4.1190357
116,-4.7767963,-4.4839053,-5.6076593,-4.399901,-3.9545,-4.2148824,-5.4821353,-3.9994397
117,-4.6863337,-4.6094894,-5.160001,-4.082647,-3.8812354,-4.1851044,-5.446478,-4.00113
118,-4.4665976,-4.245798,-4.776216,-4.400251,-4.1658463,-4.30894,-5.5153933,-4.4317427
119,-5.3324227,-4.4782357,-4.8310905,-4.4834385,-4.427413,-4.234005,-6.308831,-5.0202017
120,-5.15502,-4.200527,-4.3465786,-4.472986,-4.212633,-4.3068867,-5.067152,-4.663414
121,-3.8024433,-3.8623097,-4.1303034,-4.0947223,-3.9388402,-3.8499014,-5.4879355,-3.8846734
122,-4.008352,-4.066911,-4.759141,-4.13614,-3.874252,-3.8990862,-5.4231296,-3.9749794
123,-3.8408594,-3.8342197,-4.348712,-3.948448,-3.8595104,-3.9356422,-5.26347,-3.8895333
124,-4.2896123,-4.355453,-4.350962,-4.3120413,-4.0457454,-4.341464,-5.2989697,-4.6842775
125,-3.897174,-4.4194765,-4.7649975,-4.200756,-3.9230196,-4.2955933,-5.4383903,-3.953319
126,-4.498889,-4.6298323,-4.98949,-4.5502915,-4.270217,-3.6144693,-6.221316,-4.5889506
127,-3.703653,-2.5910852,-4.3667984,-3.2215235,-3.6214943,-4.189615,-4.315206,-3.8350906
128,-3.810259,-3.8571203,-3.857435,-3.8056529,-3.7941573,-3.7926953,-4.3964634,-3.8386989
129,-5.0709767,-4.233443,-3.7034683,-4.697141,-4.0174165,-3.6025193,-4.223031,-3.47336
130,-3.7867298,-3.808044,-3.857435,-3.8056529,-3.789889,-3.7926953,-4.00154,-3.817537
131,-3.8374567,-3.968855,-4.069387,-3.8933,-3.8030424,-3.7926953,-4.664421,-3.8657877
132,-3.8225756,-2.9550304,-4.461579,-3.8660452,-4.9182763,-3.9756076,-4.0899982,-3.848638
133,-3.7670643,-4.3515744,-4.4977813,-3.8047245,-3.4001503,-4.051388,-4.0805645,-3.878196
134,-3.9737773,-4.3820357,-5.0434055,-3.2440221,-4.052243,-4.000951,-4.989258,-4.092119
135,-3.8529131,-3.9297178,-4.042556,-3.9498608,-3.799442,-3.8507447,-4.312283,-3.9020288
136,-4.4950204,-4.230739,-4.827411,-4.589187,-3.9839075,-3.6567736,-5.167442,-4.525361
137,-3.9232278,-4.070029,-4.5681763,-3.961375,-4.1011944,-3.967395,-5.540086,-3.994761
138,-4.4687524,-4.5131564,-4.912642,-4.410761,-4.159287,-4.4673743,-5.24254,-4.6101203
139,-4.784383,-4.4636884,-4.834303,-4.4161453,-4.4704127,-4.4776726,-5.568423,-4.4942837
140,-3.815024,-3.9640791,-4.288224,-3.8756301,-3.8384593,-3.8812633,-4.89321,-3.8595169
141,-4.0799165,-4.072081,-4.5664268,-4.1500745,-3.8498344,-3.9573426,-5.508503,-3.9747279
142,-4.345096,-4.4310193,-4.968731,-4.219575,-3.9401605,-3.9660828,-5.486081,-4.035704
143,-4.355758,-4.4898634,-4.7630773,-4.2225122,-4.34149,-4.3728647,-5.5408044,-4.5568457
144,-3.8222055,-4.8866353,-4.56621,-4.1970444,-3.8068297,-4.295865,-4.132028,-3.8399146
145,-3.9172642,-4.0615478,-4.2489843,-4.007455,-3.902332,-4.199873,-5.4657936,-4.017009
146,-4.0031567,-4.4039693,-4.6883254,-4.36357,-5.3319774,-4.229846,-5.132962,-4.2897854
147,-5.1179757,-4.4643903,-5.0256047,-4.155625,-4.2656965,-4.428358,-6.235366,-5.0518017
148,-4.1377273,-4.2687407,-4.7833934,-4.519922,-4.2465343,-4.444728,-5.10457,-4.710594
149,-3.794164,-3.808044,-4.0448594,-3.8056529,-3.8228614,-3.7926953,-5.2892327,-3.8286092
150,-4.120138,-4.306296,-4.5937204,-2.6556044,-3.9885657,-4.138341,-5.1600375,-4.435298
151,-4.187436,-4.103195,-4.5867577,-4.4680076,-3.9664865,-3.9247265,-5.1586113,-4.0674887
152,-4.7140956,-4.2183313,-4.762366,-4.6328344,-3.9452875,-4.143916,-5.429753,-4.2276993
153,-3.8396626,-4.2434783,-4.134052,-3.899754,-5.031897,-4.195856,-4.906731,-3.909516
154,-4.5822577,-4.3642836,-4.828998,-4.449265,-4.1701484,-4.336397,-5.7209864,-4.641652
155,-3.9197743,-3.8666525,-3.955285,-3.8056529,-3.8029575,-3.8207445,-5.4274154,-3.8833737
156,-4.51581,-4.4263105,-4.776906,-4.2108383,-4.1963797,-3.6039057,-5.770551,-4.3166075
157,-3.8470979,-3.9745557,-4.269022,-3.9581447,-4.9725943,-4.1976,-4.0995975,-3.8689902
158,-3.8701458,-3.8221335,-4.3432817,-4.105599,-3.9003174,-4.043497,-5.44496,-4.4257655
159,-3.9513152,-4.5142584,-4.8367887,-4.0805135,-4.4692802,-4.24922,-5.555778,-4.1198273
160,-4.182052,-4.226261,-4.4152703,-3.4233286,-4.146456,-3.9188852,-3.2968752,-4.6863065
161,-5.270896,-4.934153,-5.4971304,-5.165104,-4.9521356,-4.8201103,-6.2318134,-5.3269634
162,-4.4923935,-4.51824,-4.9055924,-4.3762755,-4.1498904,-4.529731,-5.50181,-4.5247674
163,-4.2974234,-3.533873,-3.503993,-4.467071,-4.2071624,-2.651118,-4.0322146,-4.412604
164,-3.9467134,-3.1547532,-4.306608,-4.2564545,-4.1011715,-2.884697,-4.0271626,-4.0852466
165,-3.8039784,-4.0699463,-4.265698,-3.9716644,-3.7935858,-3.7507234,-5.141212,-3.8704505
166,-3.889835,-4.190663,-4.625815,-4.0916605,-3.9619813,-4.27788,-5.363219,-3.9680042
167,-4.369811,-3.9932153,-4.947093,-4.2834682,-3.873555,-3.9606597,-4.533834,-4.817464
168,-4.5255685,-3.9193084,-4.43414,-4.7555456,-5.2761245,-4.5546675,-5.081096,-4.560022
169,-3.9739573,-3.2840106,-4.3558526,-3.8669386,-4.1196775,-3.9982138,-5.512685,-4.096217
170,-4.0293083,-3.9270372,-4.042835,-3.8860965,-3.84861,-3.8585958,-5.4964366,-4.468342
171,-4.1653543,-3.9688208,-4.483637,-4.033756,-3.882414,-4.0548115,-5.5205035,-4.5122313
172,-4.099268,-3.9627724,-4.3557234,-3.8672972,-3.8806982,-3.924923,-5.4892282,-4.4998736
173,-3.8795023,-3.808044,-4.3275204,-3.8741972,-3.8394513,-3.7926953,-5.5528116,-4.187686
174,-3.801609,-3.808044,-3.857435,-3.8056529,-3.7876396,-3.7926953,-5.36797,-3.9278555
175,-3.8524554,-3.808044,-3.9533696,-3.8823607,-3.8006096,-3.8577576,-5.543745,-4.066504
176,-3.937464,-3.808044,-4.4792285,-4.0277395,-3.8246205,-3.843517,-5.506967,-4.1907983
177,-3.8106034,-3.9117713,-4.2730293,-3.881413,-3.8175945,-3.8211184,-5.2451444,-3.8475459
178,-3.8445501,-2.6963544,-4.125888,-3.882277,-3.8163915,-3.613156,-5.201559,-3.8402808
179,-4.1396093,-4.3758874,-4.3250504,-4.5454993,-3.937031,-4.230852,-5.857452,-4.4909935
180,-3.794587,-3.8633325,-4.078947,-3.8056529,-3.8258188,-3.8221385,-5.476099,-3.930905
181,-4.2822595,-4.280986,-4.711023,-4.364041,-3.9151905,-4.3107395,-5.402949,-4.2652884
182,-4.2671685,-4.22955,-4.6684623,-4.039612,-3.9489503,-3.9725947,-5.463864,-4.417217
183,-4.294676,-4.442389,-4.710466,-4.539109,-4.273816,-4.437263,-5.718137,-4.872971
184,-5.0865192,-4.2794824,-4.687121,-3.956345,-3.7912972,-4.092622,-5.0566397,-3.9666684
185,-2.6989975,-3.8249547,-4.7050686,-3.9648077,-3.8978353,-3.0595748,-5.083916,-4.427007
186,-4.290227,-4.6093035,-4.6269927,-4.5918026,-4.402657,-4.467467,-5.498273,-4.5160723
187,-4.0091796,-4.0205874,-3.857435,-3.9301915,-3.820497,-3.038925,-4.4005003,-3.8880305
188,-3.7807958,-3.8634448,-3.857435,-4.0259976,-3.8856592,-3.5629194,-3.9656167,-3.8191879
189,-4.454159,-3.6441061,-4.4467845,-4.725213,-4.0806284,-4.52935,-5.783606,-4.4111967
190,-3.984847,-4.54928,-4.530787,-4.41229,-4.352811,-4.175918,-4.349181,-4.1043057
191,-4.8325853,-4.6921124,-4.909981,-4.6341624,-4.838027,-4.542691,-5.6832957,-4.920828
192,-4.5415387,-4.4402847,-5.7977734,-4.1500835,-3.898455,-4.3627524,-5.469099,-3.9360118
193,-3.8599775,-4.008273,-4.08544,-3.9496164,-3.8625045,-4.0057344,-5.243279,-3.895615
194,-4.090066,-4.468768,-4.6984124,-4.40701,-3.9772017,-4.182279,-5.5497403,-4.494481
