,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
106,-1.0450511,-0.13851966,3.2654147,-2.6029449,-2.8308635,-0.8878827,-2.2939262,-2.9178743
107,-2.076119,0.11242748,-1.4367987,-0.5722084,4.3240986,-0.48290733,-2.4769845,-2.3427718
108,-1.5619546,-0.53738844,-1.3194106,-1.5600336,-1.7910005,0.4701661,0.58507144,-1.2202305
109,-2.1187599,0.5396437,-0.5150501,0.11284652,3.7738547,-0.0869113,-2.5350564,-2.1827548
110,-1.9850808,0.571564,-0.5391818,-1.3419299,3.507664,-0.59515804,-2.6504061,-2.6872163
111,-1.1775199,-0.6578054,2.1507018,-2.1677492,-2.8245592,-1.1062896,-0.20181672,-2.8825033
112,1.0046076,0.32849675,0.40364146,0.87118876,-0.59314173,0.15924343,1.6049893,0.59678984
113,1.7861804,0.004058882,2.4036384,-0.8611464,-2.4300914,-0.11572175,-0.4756129,-1.6608007
114,-2.3857985,-0.08446517,-1.9623218,-1.5169557,-2.8987856,-1.556014,-2.125053,-2.380068
115,1.4818422,1.3373044,-0.87617964,4.3607354,-2.5877259,0.9319785,-2.7416744,-1.5176041
116,2.2639227,0.84613967,4.0969443,-0.6158177,-1.7431616,-0.5519711,0.04396988,-2.0674565
117,1.6276852,0.5748091,2.7904184,-1.5606478,-2.2879586,-0.88693833,-0.80971074,-2.0417366
118,0.6963115,-1.1577415,-0.7629517,-0.53779095,-0.8414924,-0.75599253,0.7335597,-0.43249074
119,4.9958696,0.9229378,2.3944,1.115619,1.7764162,1.1641688,4.3371253,3.2434893
120,3.8253512,-0.45184624,0.8152099,-0.232902,1.1077417,0.40555927,2.2691317,1.7354673
121,-2.8354702,-2.7846935,-2.3998678,-1.5648742,-1.8516794,-2.6464481,0.13125315,-2.6927752
122,-1.4748657,-1.7572373,-0.8031792,-1.3788778,-2.274758,-1.9251317,0.69354784,-2.1949916
123,-2.32601,-1.9087948,-1.6118203,-2.1658635,-2.3327122,-1.9298999,0.28770748,-2.651732
124,-0.0038376504,1.147903,0.6780244,1.1529728,-0.19075453,0.49794725,3.538332,1.6399775
125,-2.0037498,-0.46675166,-0.3221411,-1.1903467,-1.853349,-0.5929584,0.8357443,-2.2823093
126,1.1966194,1.3978277,2.1959233,1.4719392,0.016816383,2.0886517,4.1883836,1.5852944
127,-2.949093,0.9204056,-1.7837678,-0.32517028,-1.5839437,-0.28111723,-2.5702567,-3.0558906
128,-2.8476832,-2.7780862,-3.2498424,-3.1718793,-3.0112066,-3.1658301,-2.3851256,-3.0021572
129,4.6847796,0.76173043,0.84970134,1.7053158,0.34324142,0.89904445,3.1746488,2.5989137
130,-3.1393614,-3.178449,-3.2498424,-3.1718793,-3.122772,-3.1658301,-3.1347523,-3.1858306
131,-2.5109963,-2.213334,-2.3767133,-2.5789404,-2.942186,-3.1658301,-1.8783163,-2.7849915
132,-2.561589,-0.963371,-0.9639814,-2.61604,2.7034292,-1.6601866,-2.960579,-2.9617002
133,-2.5529425,0.65795076,-0.54049546,-0.6132979,2.4538684,-0.09958971,-2.965528,-2.663088
134,-1.2194839,1.6131147,2.7202682,-0.03672699,4.480147,1.1225504,-1.5751609,-1.5767732
135,-2.3562794,-1.7061231,-2.637021,-2.1769733,-2.8316178,-2.6434069,-1.4272346,-2.6556756
136,1.8343259,1.7439812,0.6160155,1.4740161,-1.4995635,3.3910677,-1.375846,-0.08034213
137,-1.8025777,-1.7649513,-1.2153126,-1.3129846,-1.1641228,-2.0665293,0.2604229,-2.1577716
138,0.61796194,0.057866592,0.96163124,0.18417154,-0.8944148,0.54931474,1.1279076,0.63560355
